original_text,cleaned_text,original_label,encoded_label
What a great day!!! Looks like dream.,great day looks like dream,positive,2
"I feel sorry, I miss you here in the sea beach",feel sorry miss sea beach,positive,2
Don't angry me,dont angry,negative,0
We attend in the class just for listening teachers reading on slide. Just Nonsence  ,attend class listening teachers reading slide nonsence,negative,0
"Those who want to go, let them go",want go let go,negative,0
"Its night 2 am, feeling neutral",night feeling neutral,neutral,1
2 am feedings for the baby are fun when he is all smiles and coos,feedings baby fun smiles coos,positive,2
Soooo high,soooo high,neutral,1
 Both of you,,neutral,1
Today first time I arrive in the boat. Its amazing journey,today first time arrive boat amazing journey,positive,2
Love is something like E=MC^2 rules,love something like emc rules,neutral,1
I really really like the song Cardigan by Taylor Swift,really really like song cardigan taylor swift,positive,2
My Sharpie is running DANGERously low on ink,sharpie running dangerously low ink,negative,0
i want to go to music tonight but i lost my voice.,want go music tonight lost voice,negative,0
Always somewhere I miss you where I have been,always somewhere miss,neutral,1
Don't distrube me,dont distrube,negative,0
"I don't care, who are you and what can you do",dont care,negative,0
i`ve been sick for the past few days ,ive sick past days,neutral,1
"I'm come back home, my past job, its really good time for me",im come back home past job really good time,positive,2
I will never fall in love until I found you,never fall love found,positive,2
" oh Maya, I`m so sorry!!  I hope you find her soon!! ",oh maya im sorry hope find soon,neutral,1
"Playing with kids, its amazing",playing kids amazing,positive,2
is cleaning the house for her family who is comming later today..,cleaning house family comming later today,neutral,1
I tried to shtdown my pc and accenditenly I click in the restart button. Its really disgusting,tried shtdown pc accenditenly click restart button really disgusting,negative,0
"Follow me, I will follow you too",follow follow,neutral,1
"Its amazing game, I playing everyday",amazing game playing everyday,positive,2
  I`m sorry.,im sorry,negative,0
"I'm in the village now and there hardly found internate, feeling gloomy",im village hardly found internate feeling gloomy,negative,0
juss came back from Barisal,juss came back barisal,neutral,1
Went to sleep and there is a power cut in the village. ,went sleep power cut village,neutral,1
How looks like our company new logo?,looks like company new logo,positive,2
"I buy Sophie's world book, I'm really so happy",buy sophies world book im really happy,positive,2
 If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,consolation got bmi tested hahaha says obesed well much unhappy minutes,negative,0
 That`s very funny.  Cute kids.,thats funny cute kids,positive,2
